0.693,0.297
0.693,0.339
0.686,0.372
0.675,0.386
0.647,0.393
0.611,0.395
0.559,0.398
0.468,0.401
0.485,0.399
0.443,0.401
0.480,0.401
0.522,0.400
0.427,0.401
0.396,0.401
0.431,0.401
0.398,0.402
0.425,0.402
0.395,0.402
0.394,0.402
0.401,0.401
0.366,0.401
0.370,0.401
0.316,0.402
0.395,0.401
0.318,0.401
0.336,0.401
0.333,0.401
0.328,0.401
0.297,0.401
0.271,0.402
0.276,0.403
0.288,0.404
0.288,0.405
0.267,0.410
0.257,0.416
0.263,0.425
0.235,0.433
0.324,0.433
0.236,0.441
0.229,0.449
0.225,0.457
0.194,0.466
0.188,0.474
0.192,0.483
0.209,0.491
0.261,0.497
0.234,0.504
0.230,0.511
0.199,0.517
0.187,0.523
0.164,0.529
0.168,0.535
0.201,0.541
0.199,0.547
0.199,0.552
0.206,0.556
0.175,0.556
0.171,0.562
0.149,0.567
0.149,0.571
0.158,0.575
0.169,0.580
0.173,0.583
0.164,0.587
0.171,0.591
0.143,0.594
0.168,0.598
0.154,0.601
0.136,0.605
0.162,0.608
0.169,0.611
0.158,0.614
0.144,0.616
0.133,0.620
0.162,0.623
0.094,0.623
0.137,0.626
0.161,0.629
0.139,0.631
0.133,0.634
0.125,0.637
0.161,0.639
0.136,0.642
0.140,0.645
0.120,0.648
0.148,0.650
0.141,0.651
0.133,0.654
0.145,0.656
0.128,0.658
0.126,0.660
0.130,0.662
0.136,0.664
0.120,0.666
0.102,0.666
0.122,0.668
0.102,0.671
0.116,0.672
0.109,0.674
0.125,0.676
0.112,0.678
0.117,0.679
0.113,0.681
0.111,0.683
0.119,0.685
0.112,0.687
0.127,0.688
0.122,0.690
0.121,0.692
0.104,0.693
0.117,0.695
0.112,0.696
0.109,0.698
0.078,0.698
0.099,0.699
0.143,0.700
0.093,0.702
0.108,0.703
0.110,0.705
0.095,0.706
0.094,0.708
0.094,0.709
0.093,0.711
0.097,0.712
0.089,0.714
0.093,0.715
0.097,0.717
0.075,0.718
0.100,0.719
0.094,0.720
